date,close,congestion
2022-06-08,3263.79,0.4133
2022-06-09,3238.95,0.4069
2022-06-10,3284.83,0.4121
2022-06-13,3255.55,0.4173
2022-06-14,3288.91,0.4082
2022-06-15,3305.41,0.4325
2022-06-16,3285.38,0.4068
2022-06-17,3316.79,0.4203
2022-06-20,3315.43,0.4151
2022-06-21,3306.72,0.3915
2022-06-22,3267.2,0.3965
2022-06-23,3320.15,0.4056
2022-06-24,3349.75,0.4032
2022-06-27,3379.19,0.4064
2022-06-28,3409.21,0.3942
2022-06-29,3361.52,0.3976
2022-06-30,3398.62,0.4109
2022-07-01,3387.64,0.4169
2022-07-04,3405.43,0.4186
2022-07-05,3404.03,0.4164
2022-07-08,3356.08,0.4235
2022-07-11,3313.58,0.4199
2022-07-12,3281.47,0.4209
2022-07-13,3284.29,0.4281
2022-07-14,3281.74,0.4178
2022-07-15,3228.06,0.3996
2022-07-18,3278.1,0.392
2022-07-19,3279.43,0.3749
2022-07-20,3304.72,0.3572
2022-07-21,3272.0,0.3803
2022-07-22,3269.97,0.3757
2022-07-25,3250.39,0.3736
2022-07-26,3277.44,0.3883
2022-07-27,3275.76,0.3811
2022-07-28,3282.58,0.3691
2022-07-29,3253.24,0.3687
2022-08-01,3259.96,0.3758
2022-08-02,3186.27,0.3465
2022-08-03,3163.67,0.3693
2022-08-04,3189.04,0.3765
2022-08-05,3227.03,0.3799
2022-08-08,3236.93,0.3797
2022-08-09,3247.43,0.3793
2022-08-10,3230.02,0.3809
2022-08-11,3281.67,0.3677
2022-08-12,3276.89,0.3523
2022-08-15,3276.09,0.3793
2022-08-16,3277.88,0.3663
2022-08-17,3292.53,0.3782
2022-08-18,3277.54,0.3617
2022-08-19,3258.08,0.3679
2022-08-22,3277.79,0.3842
2022-08-23,3276.22,0.378
2022-08-24,3215.2,0.3539
2022-08-25,3246.25,0.3729
2022-08-26,3236.22,0.3789
2022-08-29,3240.73,0.3634
2022-08-30,3227.22,0.366
2022-08-31,3202.14,0.3893
2022-09-01,3184.98,0.3683
2022-09-02,3186.48,0.3568
2022-09-05,3199.91,0.367
2022-09-06,3243.45,0.3845
2022-09-07,3246.29,0.3695
2022-09-08,3235.59,0.3583
2022-09-09,3262.05,0.393
2022-09-13,3263.8,0.3792
2022-09-14,3237.54,0.3635
2022-09-15,3199.92,0.3729
2022-09-16,3126.4,0.3767
2022-09-19,3115.6,0.368
2022-09-20,3122.41,0.3953
2022-09-21,3117.18,0.3823
2022-09-22,3108.91,0.3904
2022-09-23,3088.37,0.3685
2022-09-26,3051.23,0.3874
2022-09-27,3093.86,0.3848
2022-09-28,3045.07,0.3719
2022-09-29,3041.2,0.3768
2022-09-30,3024.39,0.39
2022-10-10,2974.15,0.4016
2022-10-11,2979.79,0.4019
2022-10-12,3025.51,0.4001
2022-10-13,3016.36,0.378
2022-10-14,3071.99,0.3968
2022-10-17,3084.94,0.376
2022-10-18,3080.96,0.3569
2022-10-19,3044.38,0.3776
2022-10-20,3035.05,0.3698
2022-10-21,3038.93,0.366
2022-10-24,2977.56,0.3796
2022-10-25,2976.28,0.3694
2022-10-26,2999.5,0.3611
2022-10-27,2982.9,0.3838
2022-10-28,2915.93,0.3593
2022-10-31,2893.48,0.3704
2022-11-01,2969.2,0.3953
2022-11-02,3003.37,0.3816
2022-11-03,2997.81,0.3772
2022-11-04,3070.8,0.3894
2022-11-07,3077.82,0.3724
2022-11-08,3064.49,0.3676
2022-11-09,3048.17,0.3572
2022-11-10,3036.13,0.3473
2022-11-11,3087.29,0.3813
2022-11-14,3083.4,0.3858
2022-11-15,3134.08,0.3727
2022-11-16,3119.98,0.3595
2022-11-17,3115.43,0.3701
2022-11-18,3097.24,0.357
2022-11-21,3085.04,0.3554
2022-11-22,3088.94,0.3517
2022-11-23,3096.91,0.3518
2022-11-24,3089.31,0.3678
2022-11-25,3101.69,0.3723
2022-11-28,3078.55,0.37
2022-11-29,3149.75,0.391
2022-11-30,3151.34,0.3842
2022-12-01,3165.47,0.3867
2022-12-02,3156.14,0.356
2022-12-05,3211.81,0.3673
2022-12-06,3212.53,0.3826
2022-12-07,3199.62,0.3812
2022-12-08,3197.35,0.3595
2022-12-09,3206.95,0.3751
2022-12-12,3179.04,0.3558
2022-12-13,3176.33,0.3593
2022-12-14,3176.53,0.3804
2022-12-15,3168.65,0.3794
2022-12-16,3167.86,0.3627
2022-12-19,3107.12,0.3777
2022-12-20,3073.77,0.4073
2022-12-21,3068.41,0.3857
2022-12-22,3054.43,0.3947
2022-12-23,3045.87,0.3983
2022-12-26,3065.56,0.3939
2022-12-27,3095.57,0.39
2022-12-28,3087.4,0.4005
2022-12-29,3073.7,0.389
2022-12-30,3089.26,0.3879
2023-01-03,3116.51,0.3629
2023-01-04,3123.52,0.3746
2023-01-05,3155.22,0.4095
2023-01-06,3157.64,0.392
2023-01-09,3176.08,0.3993
2023-01-10,3169.51,0.4101
2023-01-11,3161.84,0.3986
2023-01-12,3163.45,0.4048
2023-01-13,3195.31,0.4105
2023-01-16,3227.59,0.4207
2023-01-17,3224.24,0.3978
2023-01-18,3224.41,0.3814
2023-01-19,3240.28,0.3872
2023-01-20,3264.81,0.3975
2023-01-30,3269.32,0.3874
2023-01-31,3255.67,0.3741
2023-02-01,3284.92,0.3577
2023-02-02,3285.67,0.3507
2023-02-03,3263.41,0.3491
2023-02-06,3238.7,0.3641
2023-02-07,3248.09,0.3426
2023-02-08,3232.11,0.3449
2023-02-09,3270.38,0.3495
2023-02-10,3260.67,0.3421
2023-02-13,3284.16,0.3471
2023-02-14,3293.28,0.3464
