stock_code,result
600082,"
StockCode: 600082, Final Capital: 12335.79 CNY, Winning Rate: 44.44%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：3.12"
600081,"
StockCode: 600081, Final Capital: 10196.00 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-03-31 00:00:00, 买入价格：14.96"
600088,"
StockCode: 600088, Final Capital: 12725.00 CNY, Winning Rate: 57.14%,持仓：0, 最后一次购买日期为：2025-04-14 00:00:00, 买入价格：17.27"
600080,"
StockCode: 600080, Final Capital: 9008.81 CNY, Winning Rate: 40.00%,持仓：0, 最后一次购买日期为：2025-03-18 00:00:00, 买入价格：7.88"
600099,"
StockCode: 600099, Final Capital: 12005.81 CNY, Winning Rate: 54.55%,持仓：0, 最后一次购买日期为：2025-03-24 00:00:00, 买入价格：9.66"
600108,"
StockCode: 600108, Final Capital: 9164.55 CNY, Winning Rate: 27.27%,持仓：0, 最后一次购买日期为：2025-04-08 00:00:00, 买入价格：3.25"
600100,"
StockCode: 600100, Final Capital: 12363.00 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-02-24 00:00:00, 买入价格：9.48"
600096,"
StockCode: 600096, Final Capital: 8960.29 CNY, Winning Rate: 27.27%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：22.90"
600113,"
StockCode: 600113, Final Capital: 13308.32 CNY, Winning Rate: 46.15%,持仓：1, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：14.17"
600083,"
StockCode: 600083, Final Capital: 9251.00 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2024-11-21 00:00:00, 买入价格：2.41"
600101,"
StockCode: 600101, Final Capital: 11865.63 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-07 00:00:00, 买入价格：11.89"
600076,"
StockCode: 600076, Final Capital: 8880.79 CNY, Winning Rate: 11.11%,持仓：0, 最后一次购买日期为：2025-03-14 00:00:00, 买入价格：2.27"
600118,"
StockCode: 600118, Final Capital: 12182.84 CNY, Winning Rate: 57.14%,持仓：0, 最后一次购买日期为：2025-03-07 00:00:00, 买入价格：28.40"
600105,"
StockCode: 600105, Final Capital: 9003.48 CNY, Winning Rate: 30.00%,持仓：0, 最后一次购买日期为：2025-03-26 00:00:00, 买入价格：6.96"
600109,"
StockCode: 600109, Final Capital: 9285.28 CNY, Winning Rate: 11.11%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：8.78"
600094,"
StockCode: 600094, Final Capital: 13072.62 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：3.48"
600098,"
StockCode: 600098, Final Capital: 10239.23 CNY, Winning Rate: 37.50%,持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：6.51"
600078,"
StockCode: 600078, Final Capital: 9506.21 CNY, Winning Rate: 22.22%,持仓：0, 最后一次购买日期为：2025-03-24 00:00:00, 买入价格：5.72"
600123,"
StockCode: 600123, Final Capital: 9764.26 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-03-25 00:00:00, 买入价格：7.95"
600127,"
StockCode: 600127, Final Capital: 11017.00 CNY, Winning Rate: 57.14%,持仓：1, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：7.04"
600097,"
StockCode: 600097, Final Capital: 14484.35 CNY, Winning Rate: 71.43%,持仓：0, 最后一次购买日期为：2025-03-13 00:00:00, 买入价格：9.73"
600121,"
StockCode: 600121, Final Capital: 13604.65 CNY, Winning Rate: 57.14%,持仓：0, 最后一次购买日期为：2025-03-13 00:00:00, 买入价格：4.17"
600089,"
StockCode: 600089, Final Capital: 10441.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-12 00:00:00, 买入价格：12.38"
600120,"
StockCode: 600120, Final Capital: 17690.48 CNY, Winning Rate: 62.50%,持仓：0, 最后一次购买日期为：2025-02-05 00:00:00, 买入价格：5.60"
600095,"
StockCode: 600095, Final Capital: 10684.00 CNY, Winning Rate: 28.57%,持仓：0, 最后一次购买日期为：2025-04-11 00:00:00, 买入价格：8.38"
600106,"
StockCode: 600106, Final Capital: 9079.40 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2025-02-27 00:00:00, 买入价格：6.07"
600110,"
StockCode: 600110, Final Capital: 8954.38 CNY, Winning Rate: 14.29%,持仓：0, 最后一次购买日期为：2025-02-20 00:00:00, 买入价格：4.37"
600104,"
StockCode: 600104, Final Capital: 9345.00 CNY, Winning Rate: 28.57%,持仓：0, 最后一次购买日期为：2025-02-11 00:00:00, 买入价格：19.01"
600126,"
StockCode: 600126, Final Capital: 21058.00 CNY, Winning Rate: 37.50%,持仓：0, 最后一次购买日期为：2025-02-26 00:00:00, 买入价格：13.38"
600103,"
StockCode: 600103, Final Capital: 10793.37 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2024-12-19 00:00:00, 买入价格：2.63"
600114,"
StockCode: 600114, Final Capital: 10885.00 CNY, Winning Rate: 45.45%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：23.26"
600107,"
StockCode: 600107, Final Capital: 10252.44 CNY, Winning Rate: 44.44%,持仓：0, 最后一次购买日期为：2025-03-12 00:00:00, 买入价格：5.12"
600129,"
StockCode: 600129, Final Capital: 8566.00 CNY, Winning Rate: 22.22%,持仓：0, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：22.33"
600111,"
StockCode: 600111, Final Capital: 11741.00 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-04-09 00:00:00, 买入价格：25.30"
600117,"
StockCode: 600117, Final Capital: 13836.00 CNY, Winning Rate: 66.67%,持仓：0, 最后一次购买日期为：2025-03-14 00:00:00, 买入价格：2.28"
600085,"
StockCode: 600085, Final Capital: 10290.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2024-12-23 00:00:00, 买入价格：41.70"
600125,"
StockCode: 600125, Final Capital: 9717.00 CNY, Winning Rate: 30.00%,持仓：0, 最后一次购买日期为：2025-04-10 00:00:00, 买入价格：6.16"
600130,"
StockCode: 600130, Final Capital: 11228.00 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2024-12-12 00:00:00, 买入价格：6.22"
600115,"
StockCode: 600115, Final Capital: 9484.36 CNY, Winning Rate: 44.44%,持仓：1, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：3.83"
600128,"
StockCode: 600128, Final Capital: 8602.37 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：10.53"
600116,"
StockCode: 600116, Final Capital: 10444.50 CNY, Winning Rate: 66.67%,持仓：0, 最后一次购买日期为：2025-03-20 00:00:00, 买入价格：6.81"
600132,"
StockCode: 600132, Final Capital: 10803.03 CNY, Winning Rate: 28.57%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：59.40"
600135,"
StockCode: 600135, Final Capital: 8250.72 CNY, Winning Rate: 36.36%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：6.97"
600131,"
StockCode: 600131, Final Capital: 8945.00 CNY, Winning Rate: 27.27%,持仓：0, 最后一次购买日期为：2025-03-12 00:00:00, 买入价格：20.68"
600136,"
StockCode: 600136, Final Capital: 13083.91 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-21 00:00:00, 买入价格：2.47"
600138,"
StockCode: 600138, Final Capital: 10599.54 CNY, Winning Rate: 40.00%,持仓：0, 最后一次购买日期为：2025-03-18 00:00:00, 买入价格：10.58"
600143,"
StockCode: 600143, Final Capital: 14344.00 CNY, Winning Rate: 66.67%,持仓：0, 最后一次购买日期为：2025-03-03 00:00:00, 买入价格：12.14"
600137,"
StockCode: 600137, Final Capital: 9449.00 CNY, Winning Rate: 27.27%,持仓：0, 最后一次购买日期为：2025-02-26 00:00:00, 买入价格：15.92"
600150,"
StockCode: 600150, Final Capital: 9000.76 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2024-10-08 00:00:00, 买入价格：43.30"
600141,"
StockCode: 600141, Final Capital: 12265.97 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-28 00:00:00, 买入价格：22.39"
600133,"
StockCode: 600133, Final Capital: 13329.00 CNY, Winning Rate: 66.67%,持仓：0, 最后一次购买日期为：2025-03-10 00:00:00, 买入价格：10.50"
600148,"
StockCode: 600148, Final Capital: 11769.00 CNY, Winning Rate: 62.50%,持仓：0, 最后一次购买日期为：2025-03-10 00:00:00, 买入价格：19.71"
600153,"
StockCode: 600153, Final Capital: 10826.08 CNY, Winning Rate: 55.56%,持仓：1, 最后一次购买日期为：2025-04-21 00:00:00, 买入价格：10.49"
600151,"
StockCode: 600151, Final Capital: 12120.00 CNY, Winning Rate: 37.50%,持仓：0, 最后一次购买日期为：2025-03-07 00:00:00, 买入价格：7.70"
600157,"
StockCode: 600157, Final Capital: 10704.00 CNY, Winning Rate: 16.67%,持仓：0, 最后一次购买日期为：2024-12-09 00:00:00, 买入价格：1.95"
600152,"
StockCode: 600152, Final Capital: 9436.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-18 00:00:00, 买入价格：6.33"
600158,"
StockCode: 600158, Final Capital: 11086.99 CNY, Winning Rate: 55.56%,持仓：1, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：8.39"
600155,"
StockCode: 600155, Final Capital: 8918.70 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：7.59"
600156,"
StockCode: 600156, Final Capital: 7369.08 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：5.51"
600160,"
StockCode: 600160, Final Capital: 10634.68 CNY, Winning Rate: 54.55%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：25.39"
600159,"
StockCode: 600159, Final Capital: 13016.27 CNY, Winning Rate: 71.43%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：2.50"
600165,"
StockCode: 600165, Final Capital: 11774.00 CNY, Winning Rate: 46.15%,持仓：1, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：4.84"
600170,"
StockCode: 600170, Final Capital: 11869.65 CNY, Winning Rate: 33.33%,持仓：1, 最后一次购买日期为：2025-04-18 00:00:00, 买入价格：2.65"
600171,"
StockCode: 600171, Final Capital: 13770.00 CNY, Winning Rate: 38.46%,持仓：1, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：37.04"
600173,"
StockCode: 600173, Final Capital: 12440.86 CNY, Winning Rate: 58.33%,持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：6.97"
600180,"
StockCode: 600180, Final Capital: 12535.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-09 00:00:00, 买入价格：5.01"
600190,"
StockCode: 600190, Final Capital: 9503.81 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2024-11-14 00:00:00, 买入价格：1.79"
600187,"
StockCode: 600187, Final Capital: 16542.63 CNY, Winning Rate: 50.00%,持仓：1, 最后一次购买日期为：2025-04-21 00:00:00, 买入价格：4.12"
600162,"
StockCode: 600162, Final Capital: 10957.26 CNY, Winning Rate: 62.50%,持仓：0, 最后一次购买日期为：2024-12-09 00:00:00, 买入价格：2.15"
600183,"
StockCode: 600183, Final Capital: 11731.29 CNY, Winning Rate: 53.85%,持仓：0, 最后一次购买日期为：2025-02-17 00:00:00, 买入价格：32.22"
600184,"
StockCode: 600184, Final Capital: 10616.13 CNY, Winning Rate: 45.45%,持仓：0, 最后一次购买日期为：2025-03-10 00:00:00, 买入价格：14.03"
600198,"
StockCode: 600198, Final Capital: 20206.07 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-02-21 00:00:00, 买入价格：10.09"
600167,"
StockCode: 600167, Final Capital: 8777.66 CNY, Winning Rate: 36.36%,持仓：0, 最后一次购买日期为：2025-04-03 00:00:00, 买入价格：5.86"
600185,"
StockCode: 600185, Final Capital: 9314.70 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-04-11 00:00:00, 买入价格：6.71"
