stock_code,result
600088,"
StockCode: 600088, Final Capital: 12526.0 CNY, Winning Rate: 38.71%, 持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：17.18"
600089,"
StockCode: 600089, Final Capital: 18622.0 CNY, Winning Rate: 34.48%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：11.71"
600094,"
StockCode: 600094, Final Capital: 10497.0 CNY, Winning Rate: 22.22%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：3.24"
600098,"
StockCode: 600098, Final Capital: 13405.0 CNY, Winning Rate: 37.5%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：6.52"
600083,"
StockCode: 600083, Final Capital: 10746.0 CNY, Winning Rate: 37.04%, 持仓：0, 最后一次购买日期为：2024-11-12 00:00:00, 买入价格：2.43"
600097,"
StockCode: 600097, Final Capital: 10463.0 CNY, Winning Rate: 27.78%, 持仓：0, 最后一次购买日期为：2025-05-06 00:00:00, 买入价格：9.81"
600095,"
StockCode: 600095, Final Capital: 14860.0 CNY, Winning Rate: 37.93%, 持仓：0, 最后一次购买日期为：2025-05-20 00:00:00, 买入价格：8.76"
600096,"
StockCode: 600096, Final Capital: 20298.0 CNY, Winning Rate: 35.29%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：21.92"
600099,"
StockCode: 600099, Final Capital: 14699.0 CNY, Winning Rate: 48.28%, 持仓：1, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：10.04"
600104,"
StockCode: 600104, Final Capital: 10586.0 CNY, Winning Rate: 31.43%, 持仓：0, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：16.24"
600100,"
StockCode: 600100, Final Capital: 8141.0 CNY, Winning Rate: 19.44%, 持仓：1, 最后一次购买日期为：2025-05-29 00:00:00, 买入价格：7.4"
600103,"
StockCode: 600103, Final Capital: 8664.0 CNY, Winning Rate: 22.22%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：2.13"
600101,"
StockCode: 600101, Final Capital: 24976.0 CNY, Winning Rate: 45.45%, 持仓：0, 最后一次购买日期为：2025-01-27 00:00:00, 买入价格：8.47"
600105,"
StockCode: 600105, Final Capital: 12229.0 CNY, Winning Rate: 33.33%, 持仓：1, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：6.33"
